"Titre","Auteur","Prenom","Nom","Date_creation","Dates_naissance_deces_artiste","Lieu_naissance","Date_naissance","Lieu_deces","Date_deces","Domaine","id_domaine","Technique","Dimensions","Dimensions_split_1","DimX","DimY","DimZ","Annee_acquisition","Type_acquisition","Type_acquisition_copy","Précisions_acquisition","No_inventaire","Lien_Navigart"
"Les tanneries de Fez (Maroc)","René PINARD","René","PINARD","1931","Nantes (Loire-Atlantique), 1883 - Paris (France), 1938","Nantes (Loire-Atlantique)"," 1883 "," Paris (France)"," 1938","Dessin","3","Fusain, aquarelle, gouache sur papier","38,1 x 56,4 cm","38,1 x 56,4 ","38,1 "," 56,4 ","","1935","Achat","3","Achat à l'artiste en 1935","2447","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000003070"
"Projet de diplôme : La Foi et la Science","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Plume et mine de plomb sur papier","26 x 20 cm","26 x 20 ","26 "," 20 ","","0","Inconnu","0","Acquisition","4207","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000065126"
"L'entrée du Palais Royal à Nancy","Henry Wilfrid DEVILLE","Henry Wilfrid","DEVILLE","1936","Nantes (Loire-Atlantique), 1871 - Paris (France), 1939","Nantes (Loire-Atlantique)"," 1871 "," Paris (France)"," 1939","Estampe","4","Estampe, EpreuveEau-forte, tirage sur papier japonais","39 x 23,1 cm30,7 x 18 cm (hors marge)","39 x 23,1 ","39 "," 23,1 ","","1949","Legs","4","Legs de M. Deville en 1949","6329","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000005722"
"Nancy, 92 grande rue - Puits","Henry Wilfrid DEVILLE","Henry Wilfrid","DEVILLE","1935","Nantes (Loire-Atlantique), 1871 - Paris (France), 1939","Nantes (Loire-Atlantique)"," 1871 "," Paris (France)"," 1939","Dessin","3","Plume, encre brune sur carton fin","31,7 x 23,8 cm","31,7 x 23,8 ","31,7 "," 23,8 ","","1949","Legs","4","Legs de l'artiste en 1949","6334","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000001640"
"Nancy, 39, rue de la Source","Henry Wilfrid DEVILLE","Henry Wilfrid","DEVILLE","1935","Nantes (Loire-Atlantique), 1871 - Paris (France), 1939","Nantes (Loire-Atlantique)"," 1871 "," Paris (France)"," 1939","Dessin","3","Mine de plomb, plume et encre brunesur papier vergé","31,1 x 23,1 cm","31,1 x 23,1 ","31,1 "," 23,1 ","","1949","Legs","4","Legs de l'artiste en 1949","6344","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000001650"
"Tête de moine camaldule","Paul DELAROCHE ","Paul","DELAROCHE","1834","Paris (France), 1797 - Paris (France), 1856","Paris (France)"," 1797 "," Paris (France)"," 1856","Peinture","2","De 3/4 à gauche ; longue barbe noireHuile sur carton","23,3 x 19 cm","23,3 x 19 ","23,3 "," 19 ","","1852","Don","1","Don de M. Clarke de Feltre en 1852","894","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000004117"
"Deux têtes de moines camaldules (Dom Bernardino Riglogli et dom Vincenzo Frilli)","Paul DELAROCHE ","Paul","DELAROCHE","vers 1834","Paris (France), 1797 - Paris (France), 1856","Paris (France)"," 1797 "," Paris (France)"," 1856","Peinture","2","Huile sur carton","22,2 x 31 cm","22,2 x 31 ","22,2 "," 31 ","","1852","Don","1","Don de M. Clarke de Feltre en 1852","895","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000004118"
"Visage de femme, de profil, fortes lèvres, tête et gorge levés","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Fusain et  craie sur papier","30,8 x 25,7 cm","30,8 x 25,7 ","30,8 "," 25,7 ","","0","Inconnu","0","Acquisition","5761","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007501"
"Le Vieillard et les 3 jeunes hommes","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Mine de plomb sur papier calque","24,5 x 17,2 cm","24,5 x 17,2 ","24,5 "," 17,2 ","","0","Inconnu","0","Acquisition","4967","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000067431"
"Le buisson ardent (d'après Raphaël)","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Plume sur  papier pelure","18,8 x 28,7 cm","18,8 x 28,7 ","18,8 "," 28,7 ","","0","Inconnu","0","Acquisition","3918","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000064747"
"L'eau jaillit du rocher de Moïse","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Plume sur papier pelure","28,7 x 18,7 cm","28,7 x 18,7 ","28,7 "," 18,7 ","","0","Inconnu","0","Acquisition","3919","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000064748"
"Tryptique - au milieu ""Couronnement de la Vierge""","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Plume sur papier calque","19,5 x 25,8 cm","19,5 x 25,8 ","19,5 "," 25,8 ","","0","Inconnu","0","Acquisition","5537","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007250"
"Paysage animé (Deux hommes), d'après  I Caminenti","Prosper BARBOT","Prosper","BARBOT","s.d.","Nantes (Loire-Atlantique), 1798 - Chambellay (Maine-et-Loire), 1878","Nantes (Loire-Atlantique)"," 1798 "," Chambellay (Maine-et-Loire)"," 1878","Peinture","2","Huile sur toile","25 x 33 cm","25 x 33 ","25 "," 33 ","","1936","Legs","4","Legs de Le Chatellier en 1936","936.4.1.P","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000005330"
"Pornic. Grandes et petites coiffes","François-Hippolyte LALAISSE","François-Hippolyte","LALAISSE","1850","Nancy (Meurthe-et-Moselle), 1812? - Paris (France), 1884","Nancy (Meurthe-et-Moselle)"," 1812? "," Paris (France)"," 1884","Estampe","4","Série : Nantes et la Loire-InférieureLithographie sur papier","48,9 x 33,4 cm26,5 x 20,6 cm (hors marge)","48,9 x 33,4 ","48,9 "," 33,4 ","","1876","Dépôt","2","Acquisition en 1876EtatDépôt au Musée des Beaux-Arts de Nantes en 1876","3245 [n° inv. déposant ou prêteur]","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000005751"
"Ensemble du groupe ""le serment de Brutus""","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Mine de plomb sur papier","10 x 13 cm","10 x 13 ","10 "," 13 ","","0","Inconnu","0","Acquisition","5095","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000068213"
"Fond de la chapelle de la Visitation à Nantes","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Plume sur papier Vergé","20 x 14,2 cm","20 x 14,2 ","20 "," 14,2 ","","0","Inconnu","0","Acquisition","5195","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000068410"
"Un chien","Louis-Eugène LAMBERT","Louis-Eugène","LAMBERT","s.d.","Paris (France), 1825 - Paris (France), 1900","Paris (France)"," 1825 "," Paris (France)"," 1900","Peinture","2","huile sur toile","30 x 23 cm","30 x 23 ","30 "," 23 ","","1938","Legs","4","Legs de Mme Lambert en 1938","2213 ,  938.5.4.P","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000005413"
"Rocca di Papa","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","1857","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Mine de plombet craie blanche - papier à dessin rose","33,6 x 23,4 cm","33,6 x 23,4 ","33,6 "," 23,4 ","","0","Inconnu","0","Acquisition","4489","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007575"
"Visage de napolitain, tête avec une épaisse chevelure, visage carré, air dur","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","vers 1859","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Mine de plomb - papier à desin gris","24 x 15 cm","24 x 15 ","24 "," 15 ","","0","Inconnu","0","Acquisition","5775","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007513"
"L'Immortalité","Henri FANTIN-LATOUR","Henri","FANTIN-LATOUR","achevé en 1886","Grenoble (Isère), 1836 - Buré (Orne), 1904","Grenoble (Isère)"," 1836 "," Buré (Orne)"," 1904","Estampe","4","Lithographie sur papier","23,2 x 15 cm","23,2 x 15 ","23,2 "," 15 ","","1912","Legs","4","Legs en 1912","3298","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000008236"
"Calle de Santiago","René PINARD","René","PINARD","1911","Nantes (Loire-Atlantique), 1883 - Paris (France), 1938","Nantes (Loire-Atlantique)"," 1883 "," Paris (France)"," 1938","Dessin","3","Fusain, sanguine, encre noire, lavis, rehauts de gouache blanche sur papier","32,4 x 50 cm","32,4 x 50 ","32,4 "," 50 ","","1922","Don","1","Don de l'artiste en 1922","6200","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000003117"
"Portrait de Léon Levesque","Jean-Baptiste BAUJAULT","Jean-Baptiste","BAUJAULT","s.d.","La Crèche (Deux-Sèvres), 1828 - La Crèche (Deux-Sèvres), 1899","La Crèche (Deux-Sèvres)"," 1828 "," La Crèche (Deux-Sèvres)"," 1899","Sculpture","1","MédaillonPlâtre","42 x 34,5 cm","42 x 34,5 ","42 "," 34,5 ","","0","Inconnu","0","Acquisition","14.8.4.S","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000114818"
"Tireur à l'arc en action, debout, tourné vers la gauche","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Mine de plomb sur papier","29,3 x 22 cm","29,3 x 22 ","29,3 "," 22 ","","0","Inconnu","0","Acquisition","4709","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000066253"
"Le bourg de Sucé sur Erdre, vu de Montretait","Emmanuel PHELIPPES-BEAULIEUX","Emmanuel","PHELIPPES-BEAULIEUX","1857","Nantes (Loire-Atlantique), 1819 - Nantes (Loire-Atlantique), 1874","Nantes (Loire-Atlantique)"," 1819 "," Nantes (Loire-Atlantique)"," 1874","Estampe","4","Eau-forte sur papier","36,4 x 62,5 cm","36,4 x 62,5 ","36,4 "," 62,5 ","","1948","Don","1","Don de M. Michel Noury en 1948","3437","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000005778"
"Esquisse pour la décoration de la Caisse d'Epargne à Nantes","Jacques PATISSOU","Jacques","PATISSOU","s.d.","Nantes (Loire-Atlantique), 1880 - Paris (France), 1925","Nantes (Loire-Atlantique)"," 1880 "," Paris (France)"," 1925","Peinture","2","Huile sur toile","33,5 x 75 cm","33,5 x 75 ","33,5 "," 75 ","","1937","Don","1","Don de Mme Jacques Patissou en 1937","2188","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000002965"
"Portrait de Madame Dreyfus","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","1886","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Peinture","2","Huile sur toile","56 x 55 cm","56 x 55 ","56 "," 55 ","","1923","Don","1","Don de Mme Ulmann en 1923","2777","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000005367"
"Etude d'un des anges","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Mine de plomb sur papier","40 x 25,7 cm","40 x 25,7 ","40 "," 25,7 ","","0","Inconnu","0","Acquisition","4287","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007119"
"Moïse frappant le rocher","Leandro DA PONTE","Leandro DA","PONTE","XVIe siècle","Bassano del Grappa (Italie), 1557 - Venise (Italie), 1622","Bassano del Grappa (Italie)"," 1557 "," Venise (Italie)"," 1622","Peinture","2","Huile sur toile","102 x 158 cm","102 x 158 ","102 "," 158 ","","0","Dépôt","2","AcquisitionEtatDépôt au Musée des Beaux-Arts de Nantes en 1809","12","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000004512"
"Garçonnet debout, de face, les bras croisés sur la tête","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Mine de plomb sur papier","26,6 x 19,5 cm","26,6 x 19,5 ","26,6 "," 19,5 ","","0","Inconnu","0","Acquisition","5889","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007711"
"Angelot, de 3/4, visage penché, mains croisées sur un arc ?","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Mine de plomb sur papier","20,5 x 14,7 cm","20,5 x 14,7 ","20,5 "," 14,7 ","","0","Inconnu","0","Acquisition","5890","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007712"
"Le corps d'Ixion est dessiné de bas en haut, tête en bas","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Figure virile couchée, la tête du côté gauche de la feuilleSanguine et crayon brun","28 x 36 cm","28 x 36 ","28 "," 36 ","","0","Inconnu","0","Acquisition","1357","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000063899"
"St Thomas Church, New York","Henry Wilfrid DEVILLE","Henry Wilfrid","DEVILLE","1914","Nantes (Loire-Atlantique), 1871 - Paris (France), 1939","Nantes (Loire-Atlantique)"," 1871 "," Paris (France)"," 1939","Estampe","4","Estampe, EpreuveEau-forte, tirage sur papier vergé","42,6 x 21,5 cm34,2 x 17,7 cm (hors marge)","42,6 x 21,5 ","42,6 "," 21,5 ","","1949","Legs","4","Legs DEVILLE, Mme veuve en 1949","3751","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000082169"
"Ours blanc","François POMPON","François","POMPON","1923 - 1933","Saulieu (Côte-d'Or), 1855 - Paris (France), 1933","Saulieu (Côte-d'Or)"," 1855 "," Paris (France)"," 1933","Sculpture","1","épreuve plâtrePlâtre","25 x 15 x 45 cm","25 x 15 x 45 ","25 "," 15 "," 45 ","1934","Dépôt","2","Legs de l'artiste en 1934Muséum National d'Histoire NaturelleDépôt au Musée des Beaux-Arts de Nantes le 30/10/1934","2341 [n° inv. déposant ou prêteur]","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000003152"
"Achille recevant les hérauts d'Agammemon","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Mine de plomb sur papier calque","20,8 x 17,7 cm","20,8 x 17,7 ","20,8 "," 17,7 ","","0","Inconnu","0","Acquisition","5076","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000068179"
"Un mendiant nu, chevelu et courbé, un bâton et une sébille dans la main","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Mine de plomb sur papier","33 x 24 cm","33 x 24 ","33 "," 24 ","","0","Inconnu","0","Acquisition","5086","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000068197"
"Fonds de la chapelle de la Visitation à Nantes","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Plume et crayon sur papier calque","32,5 x 23,2 cm","32,5 x 23,2 ","32,5 "," 23,2 ","","0","Inconnu","0","Acquisition","5186","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000068404"
"Etude d'une femme, de face, étude des drapés de son manteau","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Fusain sur papier","23 x 18,2 cm","23 x 18,2 ","23 "," 18,2 ","","0","Inconnu","0","Acquisition","5780","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007518"
"Tête d'homme","René PINARD","René","PINARD","1897","Nantes (Loire-Atlantique), 1883 - Paris (France), 1938","Nantes (Loire-Atlantique)"," 1883 "," Paris (France)"," 1938","Dessin","3","Mine graphite sur papier","23,4 x 15,2 cm","23,4 x 15,2 ","23,4 "," 15,2 ","","1938","Don","1","Don de l'artiste en 1938","3317","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000003086"
"Portrait d'enfant au béret","René PINARD","René","PINARD","1897","Nantes (Loire-Atlantique), 1883 - Paris (France), 1938","Nantes (Loire-Atlantique)"," 1883 "," Paris (France)"," 1938","Dessin","3","Mine de plomb sur papier contrecollé sur papier","17 x 12 cm","17 x 12 ","17 "," 12 ","","1938","Don","1","Don de l'artiste en 1938","3319","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000003088"
"L'embarcadère","René PINARD","René","PINARD","1899","Nantes (Loire-Atlantique), 1883 - Paris (France), 1938","Nantes (Loire-Atlantique)"," 1883 "," Paris (France)"," 1938","Dessin","3","Mine graphite sur papier vergé","12,5 x 15,6 cm","12,5 x 15,6 ","12,5 "," 15,6 ","","1938","Don","1","Don de l'artiste en 1938","3329","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000003098"
"Deux personages","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","l'un assis à gauche, l'autre debout flûte aux lèvresMine de plomb sur papier calque","21 x 16,6 cm","21 x 16,6 ","21 "," 16,6 ","","0","Inconnu","0","Acquisition","4627","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000065354"
"L'abbé Suger","Simon VOUET","Simon","VOUET","vers 1632 / 1634","Paris (France), 1590 - Paris (France), 1649","Paris (France)"," 1590 "," Paris (France)"," 1649","Peinture","2","Ce portrait était entouré de 6 tableaux plus petits illustrant les épisodes mémorables de la vie de Suger, dont trois, peints par Poerson ou Juste d'Egmont, sont conservés à Nantes.portraitHuile sur toile","213 x 135,5 cm","213 x 135,5 ","213 "," 135,5 ","","1810","Achat","3","Achat à M. François Cacault en 1810","756","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000005066"
"Prisons d'invention nouvelle","Giovanni Battista PIRANESI","Giovanni Battista","PIRANESI","s.d.","Mogliano Veneto (Italie), 1720 - Rome (Italie), 1778","Mogliano Veneto (Italie)"," 1720 "," Rome (Italie)"," 1778","Estampe","4","Eau-forte","55 x 41,5 cm","55 x 41,5 ","55 "," 41,5 ","","1810","Achat","3","Achat à M. François Cacault en 1810","3151","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000075508"
